Timestamp,Data Operator Initials,Q1,Q2,Q3,Q4,Q5(a),Q5(b),Q5(c),Q6,Q7,Q8,Q9,Q10(a),Q10(b),Q10(c),Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
9/15/2024 9:57:40,YA,3,0,"4,5",4,7,9,8,2,2,2,"1,2,3,4,5",9,9,9,1,6,3,6,1,2,9,7,2,1,1,4,1,4,Riccarton,3,I deeply appreciate belonging to our parish. Prayerful worship/ liturgies. Friendly people. My faith is nurtured here.
9/15/2024 9:58:24,BP,1,4,5,4,0,0,0,1,1,1,3,9,9,9,1,5,1,4,1,1,9,5,2,5,9,2,2,1,0,3,
9/15/2024 9:59:26,KL,2,5,8,1,9,9,9,1,1,1,"1,3,4",8,9,9,3,0,4,6,2,1,9,3,2,4,10 South America,4,1,5,Rolleston,1,0
9/15/2024 10:01:07,BP,2,,8,2,0,0,0,1,2,2,7,9,9,9,1,0,4,6,2,2,9,4,1,6,9,4,2,1,Riccarton,3,
9/15/2024 10:01:44,GO,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"1,4",1,1,9,3,2,4,8,4,4,5,Avonhead,3,
9/15/2024 10:01:53,YA,2,0,5,4,6,6,6,2,2,2,"1,2,3,4,5",9,9,9,1,2,4,6,2,2,7,6,1,5,9,4,2,1,Avonhead,3,
9/15/2024 10:02:28,BP,0,5,1,3,0,0,9,2,2,2,"1,2,3,4,5",8,9,9,1,2,4,2,2,2,8,3,1,5,9,3,6,1,Hornby,3,
9/15/2024 10:02:50,KL,2,0,4,3,8,8,6,2,2,2,"1,2,3,4,5,6",9,9,9,1,3,3,"4,5 Gospel",1,2,8,5,2,6,10 Latin American,4,1,5,Lincoln,1,0
9/15/2024 10:03:52,BP,0,5,1,3,0,0,9,2,2,2,"1,2,3,4,5",8,8,8,2,5,4,6,1,2,9,3,2,5,9,3,6,3,Hornby,3,
9/15/2024 10:04:32,YA,3,0,6 SVDP,6,3,9,5,2,2,2,"1,2,3,4",9,9,8,1,2,2,6,2,1,8,5,2,1,1,4,5,1,Riccarton,3,
9/15/2024 10:05:15,GO,1,2,8,1,5,4,6,2,2,2,"1,2,3",8,7,8,1,2,4,5 Facebook,2,1,8,2,2,5,9,2,2,1,Linwood,3,
9/15/2024 10:05:18,KL,2,0,7,0,1,7,7,1,2,2,"1,3,4",5,5,5,5,2,4,6,2,2,9,3,2,5,10 Latin American,4,2,1,REdwood,1,0
9/15/2024 10:05:28,BP,1,4,8,5,8,7,1,1,1,1,"1,2,3,4,5,6",8,8,8,1,1,4,6,2,2,9,6,2,1,1,4,2,3,St Albans,3,
9/15/2024 10:06:26,YA,3,6,5,5,9,5,5,2,2,2,"1,2,4",9,9,9,1,5,4,6,2,2,7,5,2,5,9,4,2,1,Waltham,3,
9/15/2024 10:07:43,BP,5,0,8,1,8,7,5,2,2,2,"1,2,3,4,5",9,9,9,2,1,2,6,1,2,8,6,2,5,1,4,2,4,Riccarton,3,
9/15/2024 10:07:59,GO,3,6,8,5,9,6,4,2,2,2,7,5,6,5,1,5,4,6,2,2,5,5,1,5,9,3,2,1,Waltham,3,
9/15/2024 10:08:27,YA,1,5,9,5,0,0,0,2,2,2,"1,2,3,4",9,8,9,1,2,4,4,2,1,9,3,2,5,9,4,0,1,Addington,3,
9/15/2024 10:08:47,KL,3,0,7 Reading at Mass,2,7,0,0,1,2,2,"1,2,3,4,5",9,9,9,2,2,4,6,2,2,9,4,2,4,10 Latin,4,5,3,St Albans,1,We would like Spanish Mass twice per month if possible
9/15/2024 10:09:31,BP,2,4,4,3,1,1,0,2,2,0,0,1,0,0,1,5,0,0,2,2,0,8,1,5,1,0,0,0,0,0,
9/15/2024 10:10:21,GO,1,3,8,1,3,3,3,2,2,2,"1,3,4",6,7,6,1,1,4,"1,5",2,2,5,3,1,5,9,4,4,1,Addington,3,
9/15/2024 10:12:08,KL,2,0,8,1,8,8,8,2,2,2,"1,2,3,4,5",6,6,5,1,5,4,6,2,2,6,4,1,4,,4,5,1,St Albans,1,0
9/15/2024 10:12:11,BP,2,4,0,0,1,1,0,2,2,2,0,1,0,0,1,0,4,6,0,2,0,8,2,5,1,2,0,4,Sockburn,3,
9/15/2024 10:12:56,YA,4,0,7 Food bank,4,0,3,0,2,2,2,"1,2,3,4",9,0,0,1,6,2,6,1,1,9,7,1,1,1 New Zelander,"2,4",0,6,Prebbleton,3,
9/15/2024 10:13:44,Bp,2,0,8,2,9,9,7,1,2,2,"1,2,3,4,5",9,9,9,1,5,4,4,2,2,9,4,2,6,9,3,2,1,Rolleston,3,
9/15/2024 10:14:41,KL,2,0,8,1,3,8,5,1,2,2,"1,2,3,4",9,9,7,3,6,1,"1, 5 Instagram",2,1,9,3,2,2,10 Latino,4,2,1,Asburton,1,0
9/15/2024 10:14:44,GO,3,0,"5, 7 marriage preparation",6,8,8,8,1,2,2,"1,2,3,4,5",8,8,8,1,0,0,0,0,0,0,0,0,6,9,4,5,1,Sockburn,3,EFTPOS / paywave machine for donations
9/15/2024 10:15:14,BP,2,0,"5,8",2,9,9,7,1,2,2,"1,2,3,4,5",9,9,9,1,5,4,4,2,2,9,5,1,6,9,2,6,6,Rolleston,3,
9/15/2024 10:17:35,KL,1,2,0,1,4,3,3,2,2,2,"1,3",8,9,6,5,1,4,"2,4",2,1,7,3,2,5,10 South American,4,2,1,Phillipstown,1,I really appreciate Spanish Mass. I loved it.
9/15/2024 10:17:51,BP,2,0,2,1,5,5,5,2,2,2,"1,2,3,4",9,9,9,2,5,4,1,2,1,9,2,2,7 Living with parents,9,4,1,3,Rolleston,3,
9/15/2024 10:18:04,YA,3,0,"5,7",6,0,0,0,1,2,2,"1,2,3,4,5",8,8,9,1,5,1,3,2,1,8,5,2,6,9,4,5,1,Sockburn,3,Paywave/ Eftpos for donations. Put this in the foyer. Marriage Banns - put in the Bulletin Board should be more visible.
9/15/2024 10:18:49,GO,0,0,4,4,0,0,0,0,0,0,"1,3,4,5",9,0,9,1,5,0,4,0,0,0,5,0,6,9,2,0,1,Wigram,3,
9/15/2024 10:19:14,BP,2,6,8,2,0,0,1,2,2,2,7,0,0,1,1,0,3,0,2,2,9,6,2,0,0,3,2,3,Canterbury,6,
9/15/2024 10:19:41,KL,1,4,0,1,3,9,3,2,2,2,"1,2,3,4",9,9,9,2,2,4,6,2,2,9,3,2,1,10 Latin American,4,3,1,Spreydon,1,0
9/15/2024 10:20:45,YA,0,0,4,4,0,9,0,0,0,0,"1,2,3,4,5",9,9,9,1,0,0,5 Vatican live w/Pope,0,1,9,6,2,6,9,2,0,1,Wigram,3,
9/15/2024 10:21:01,BP,2,0,8,5,0,5,0,2,2,2,"1,2,3,4,5",7,7,7,1,2,1,6,2,1,7,5,2,5,1,1,3,1,Aidanfield,3,
9/15/2024 10:22:22,BP,1,4,8,2,9,0,0,2,2,2,7,9,9,9,1,2,4,4,1,2,9,3,1,1,9,3,1,1,Christchurch 8061,3,
9/15/2024 10:22:49,KL,2,0,5,1,0,0,0,2,2,2,"1,2,3,4,5",6,6,6,6,6,4,6,2,2,5,5,2,6,10 Latin AMerican,4,2,3,Beckenham,1,0
9/15/2024 10:22:53,GO,2,3,8,1,9,1,1,2,2,2,"1,2,3,4,5,6",9,9,9,1,5,2,6,2,2,8,5,2,6,1,4,5,1,Ilam,3,"We started coming to St Teresa after the lockdowns / covid as we thought 8am mass would be less crowded than other masses. we also attended st bede's 9am which is more like the ""old"" CTK. Thanks"
9/15/2024 10:23:41,BP,5,0,4,6,6,8,6,2,2,2,"1,2,3,4,5,6",9,9,9,1,6,1,3,1,1,9,8,2,5,1,2,2,4,Avonhead,3,
9/15/2024 10:24:13,YA,2,3,8,1,2,4,2,2,2,1,"1,2,3,4,5",5,7,5,1,5,1,6,2,1,8,5,1,6,1,4,5,1,Ilam,3,Enjoy coming to mass here. The incense is too much for people with breathing problem though!!
9/15/2024 10:25:05,GO,1,6,8,2,0,0,0,2,2,2,"1,2,3,5",9,9,9,1,5,4,0,1,2,7,4,2,2,8,2,3,1,Upper Riccarton,3,
9/15/2024 10:25:13,BP,3,0,"5,6",6,9,7,9,1,1,1,"1,2,3,4,5,6",9,8,9,1,2,2,0,1,2,9,5,1,6,3,4,1,1,Riccarton,4,
9/15/2024 10:25:17,KL,2,2,4,1,1,4,2,2,1,2,"1,3,5",0,0,6,4,5,4,4,1,1,7,4,1,3,10 Latin American,4,2,2,Beckenham,1,0
9/15/2024 10:26:08,KL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2024 10:26:19,BP,2,0,8,6,7,9,7,2,2,2,2,8,9,9,1,5,4,4,2,2,7,3,2,3,0,4,5,3,Rolleston,3,
9/15/2024 10:26:59,YA,3,0,"3,4,5,7 Childrens ministry",6,9,9,9,1,2,1,"1,2,3,4,5,6",9,9,9,1,4,2,"3,4",1,1,9,4,2,4,1,4,5,2,Rolleston,3,Can we have more children's education?
9/15/2024 10:27:47,GO,3,0,5,4,0,8,0,1,1,1,"1,2,3,4,5",9,9,9,1,6,1,"1,4",0,1,9,5,2,5,Sri Lankan,4,5,1,Halswell,3,I would love to recite a prayer rather than sing it Example the lords prayer and others in a mass. (my opinion only). I would love silent time after holy communion for personal prayers and to be in communion with Jesus. I like longer homilies.
9/15/2024 10:28:04,BP,3,0,7 Youth Group,4,8,7,7,1,1,1,"1,2,3,4",6,6,6,1,3,1,4,2,1,6,1,1,6,1,1,6,6,Christchurch,3,
9/15/2024 10:28:46,KL,1,5,1,1,9,0,8,2,1,1,"1,2,3,4,5",6,8,7,2,6,1,4,1,1,9,5,1,5,10 Latin American,4,0,2,Ashburton,1,Priest loves the Bible i love the choir
9/15/2024 10:29:12,BP,2,4,8,3,0,0,0,2,2,2,2,5,5,5,2,0,4,6,2,2,5,4,2,5,9,4,2,1,Riccarton,3,
9/15/2024 10:29:39,YA,1,2,8,4,6,2,7,2,2,2,"1,2,3,4,5",5,5,7,1,2,4,6,2,1,7,6,1,5,1,3,5,1,Prebbleton,3,
9/15/2024 10:30:36,BP,2,0,"2,4",2,5,7,8,2,1,1,"1,2,3,4",8,9,9,1,6,2,"1,4",1,1,9,2,2,2,1,2,1,6,Ilam,3,
9/15/2024 10:31:09,GO,5,0,8,4,0,9,1,2,2,2,"1,2,3,4,5",9,9,9,1,1,4,6,2,2,8,7,1,5,1,4,1,4,Ilam,3,
9/15/2024 10:32:01,KL,5,5,1,1,9,0,8,2,1,1,"1,2,3,4,5",6,8,8,6,6,3,4,1,1,9,5,2,5,10 Latin American,4,0,2,Asburton,1,i love how much the priest father Sean loves the Word of God- La Biblia
9/15/2024 10:32:37,YA,3,4,8,3,0,2,0,2,2,2,"1,2,3,4,5",0,1,0,1,5,4,6,2,1,3,7,2,5,1,4,4,4,Fendelton,3,
9/15/2024 10:32:45,BP,1,5,7 Young Adult,3,9,6,7,1,1,1,"1,2,3,4",9,9,7,1,5,4,1,1,1,9,2,0,2,10 Vietnamese,4,1,2,Sockburn,3,
9/15/2024 10:33:04,GO,3,6,8,5,5,9,1,2,2,2,5,7,9,7,2,1,4,6,2,1,7,4,1,4,1,4,5,1,Rolleston,3,
9/15/2024 10:33:54,BP,5,0,8,4,7,1,3,1,1,2,"1,2,3,4,5",7,9,7,1,5,4,6,2,2,7,6,1,5,1,2,2,1,Riccarton,3,
9/15/2024 10:34:34,KL,3,0,"1,3,5",5,9,9,9,1,2,1,"1,2,3,4,5",9,9,9,1,5,0,"1,3",1,1,9,4,2,0,10 Latin,4,2,2,Hornby,1,0
9/15/2024 10:34:40,YA,1,5,8,2,9,7,9,2,2,1,"1,2,3,4,5",9,9,9,1,6,4,"1,4",1,2,9,3,2,5,9,4,3,3,Addington,3,
9/15/2024 10:34:40,GO,3,0,"2,3,4",4,9,9,9,1,1,1,"1,2,3,4",9,9,8,1,5,3,4,1,1,9,3,2,2,Sri Lankan,4,3,1,Wigram,3,
9/15/2024 10:36:03,GO,4,0,8,4,3,4,4,2,2,2,"1,2,3,4",7,7,5,1,2,4,1,1,2,7,2,2,1,Asian,4,4,1,Central CHCH,3,
9/15/2024 10:36:04,BP,2,0,5,6,0,6,0,2,2,1,"1,2,3,4,5,6",9,0,0,1,5,3,"1,2,4",1,2,9,6,2,1,1,4,2,3,Sockburn,3,More formation for over 35 years.  I would like to see the bible study on saturdays return.  More retreats on living the spiritual life. Parish retreat. 
9/15/2024 10:36:56,KL,2,3,"1,5,7 following Christ extra minister",5,9,9,9,1,1,1,"1,2,3,4,5,6",9,9,9,1,5,1,"2,3",2,1,9,4,1,6,10 Hispanic,4,5,1,Hei Hei,1,0
9/15/2024 10:37:01,YA,2,5,1,2,9,9,9,1,1,1,"1,3,5",9,9,9,1,2,4,5,1,1,9,4,1,4,8,2,1,1,Riccarton,3,
9/15/2024 10:37:31,GO,2,0,8,1,0,0,0,0,2,2,"1,2,3,4,5",6,8,8,2,2,4,4,2,2,7,4,1,4,9,4,0,1,0,3,
9/15/2024 10:37:32,BP,3,0,"4, 7 Music",0,0,0,0,2,2,2,"1,2,3,4,5",5,5,5,1,0,3,6,1,2,5,7,2,5,10 NZ,4,6,4,Ilam,3,
9/15/2024 10:38:56,KL,2,0,8,1,5,5,5,2,2,2,"1,2,3,4,5",5,5,3,0,1,4,6,2,2,5,4,1,6,10 Latin,4,5,1,Rolleston,1,0
9/15/2024 10:39:00,BP,3,0,4,4,0,9,0,0,0,0,"1,2,3,4,5,6",8,8,8,1,6,1,4,1,1,9,7,1,5,10 New Zealander,4,2,4,Ilam,3,
9/15/2024 10:40:00,GO,1,4,2,4,0,0,8,2,2,2,"1,2,3,4",8,8,8,2,4,4,"1,4",1,2,9,4,2,2,0,4,6,1,Northlya ??,3,
9/15/2024 10:40:36,BP,3,0,5,4,0,0,0,2,2,2,"1,2,3,4,5",0,0,0,1,5,1,4,1,2,0,4,2,5,8,4,0,1,0,3,
9/15/2024 10:41:44,KL,2,0,3,4,2,2,1,2,2,2,"1,2,3,4,5",8,5,8,1,3,4,4,2,1,8,3,1,5,1,4,4,1,Parklands,1,Young couples connect groups. Please please some modern worship music.
9/15/2024 10:41:57,YA,3,2,8,2,0,0,7,1,2,2,"1,2,3,4",7,8,8,"1,4",5,4,"2,4",1,2,9,1,2,2,9,2,6,2,Phillipston,4,
9/15/2024 10:43:08,BP,5,0,7 Frequent Mass Attendance,5,0,4,0,2,2,2,"1,3,4",7,0,0,1,6,4,6,1,2,0,8,1,1,1,2,1,4,Riccarton,3,"History seems to be totally ignored.  The annervsary dates of deceased parishioners are no longer listed: Jim Nicholas, a much loved former priest of the parish didnt' get a mention when he died recently.  Wider catholic matter are no available - where is the NZ Catholic paper or other??"
9/15/2024 10:44:02,YA,2,4,4,2,0,0,1,2,2,2,"1,2,3,4,5,6,7",9,9,9,1,5,4,"1,2,4",1,2,9,4,2,2,9,4,6,1,Phillipstown,1,
9/15/2024 10:44:38,KL,2,0,8,4,1,3,1,2,2,2,"1,2,3,4,5",9,5,9,1,5,4,"1,4",2,1,8,3,2,5,10 Latin American,4,4,1,Parklands,1,more upbeats modern worship music would be really appreciated especially for young parishioner couples
9/15/2024 10:44:58,BP,2,0,2,4,9,8,8,1,1,1,"1,2,3,4,5",9,0,0,1,6,1,5 Facebook,1,1,7,4,1,4,9,4,2,1,Riccarton,3,Thank you to all the priest especially our parish priest and the server. 
9/15/2024 10:46:21,YA,2,5,8,3,0,0,0,1,2,2,"1,5",9,9,9,5,4,4,0,1,2,9,5,2,5,10 Brazilian,1,6,1,0,3,
9/15/2024 10:46:24,KL,4,1,8,1,2,1,8,2,2,2,"1,2,3",9,9,9,2,5,4,4,2,2,9,2,2,1,8,4,6,2,Wigram,1,0
9/15/2024 10:47:08,BP,1,5,2,4,8,8,8,1,1,1,"1,2,3,4,5",9,8,8,1,6,1,5 Facebook,1,2,7,4,2,4,9,4,1,7 Reschool reliever,Riccarton,3,Thank you for welcoming and made to feel we belong to this place. 
9/15/2024 10:47:58,KL,2,4,8,1,1,1,6,2,2,2,"1,2,3,4,5",4,5,5,2,1,1,6,2,2,4,3,1,4,8,4,2,1,Wigram,1,0
9/15/2024 10:48:12,YA,3,0,1,2,7,7,7,2,2,2,"1,3",8,8,8,2,5,4,4,1,1,9,5,2,0,0,0,0,0,0,0,
9/15/2024 10:48:44,BP,2,0,"4,5,7 Ministry to this sick",4,9,9,9,2,1,1,"1,2,3,4",9,9,9,1,6,1,"1,4",1,1,9,4,2,1,10 Japanese,4,2,1,Bishopdale,3,
9/15/2024 10:49:43,KL,2,4,8,1,3,3,6,1,2,2,"1,2,3,4,5",8,9,9,2,4,1,4,2,1,9,3,2,4,8,4,1,1,Wigram,1,0
9/15/2024 10:50:40,YA,3,0,"2,4",3,9,9,9,2,1,2,"1,2,3,4,5",9,9,9,1,5,4,1,1,2,9,3,1,4,1,4,4,1,Avonhead,3,
9/15/2024 10:51:33,KL,1,4,3,3,0,0,0,2,2,2,"1,2,3,4,5",8,8,9,1,5,4,"1,3,4",1,2,9,5,1,4,1,4,4,1,0,1,0
9/15/2024 10:52:21,BP,5,0,"1,4,5",6,9,9,9,1,2,1,"1,2,3,4,5,6",9,9,9,1,5,1,6,1,2,9,8,1,5,1,4,4,4,Avonhead,3,
9/15/2024 10:52:40,YA,2,4,4,3,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,9,3,1,4,Christchurch,3,
9/15/2024 10:53:35,KL,2,0,5,1,0,9,8,2,2,2,"1,2,3,4",8,9,9,3,2,1,6,1,1,7,4,2,4,10 Latin American,4,6,3,Rollesotn,1,0
9/15/2024 10:53:37,BP,3,0,5,2,4,6,3,2,2,2,"1,2,3,4",4,4,4,1,1,4,6,2,2,5,2,1,6,9,4,6,2,Sockburn,3,
9/15/2024 10:54:49,BP,2,5,8,1,7,6,6,2,2,2,2,6,7,7,1,2,4,4,2,2,9,5,1,2,9,2,2,3,Upper Riccarton,3,
9/15/2024 10:55:05,YA,3,0,"1,6",5,9,9,9,0,1,1,"1,2,3,4,5,6",9,9,8,1,5,2,"1,2,5 Mission/ Fr Frankie",1,0,0,7,2,5,1,4,3,4,Ilam,3,
9/15/2024 10:56:00,KL,2,0,5,1,8,3,5,2,2,2,"1,2,3,4,5",6,6,7,4,1,2,6,2,2,6,3,1,4,10 Latin AMerican,4,3,1,Rolleston,1,Spanish Mass is great to evolve for the Spanish community
9/15/2024 10:56:04,BP,2,0,2,0,0,0,0,1,2,2,"1,2,3,4,5",7,7,3,1,2,1,0,2,2,5,7,2,5,1,4,6,4,Ilam,3,
9/15/2024 10:57:28,YA,3,0,"1,3,4",5,7,7,7,2,1,2,"1,2,3,4,5,6",8,8,7,1,5,1,"1,5 Mission for 3 nights",1,2,7,6,1,5,1,4,3,4,Ilam,3,
9/15/2024 10:57:49,BP,1,4,8,1,9,9,9,2,1,1,"1,2,3,4",5,6,5,1,3,1,6,2,2,7,1,2,2,1,2,2,2,Bryndwr,3,
9/15/2024 11:00:09,KL,6,2,8,1,1,1,1,2,2,2,"1,2,3,4",6,2,4,0,5,1,6,2,2,9,2,1,1,10 Colombia,4,3,1,Darfield,1,0
9/15/2024 11:01:40,BP,2,0,4,3,6,7,7,2,2,2,"1,2,3,4,5",6,8,9,1,5,4,0,2,2,7,6,1,5,1,2,1,3,0,3,
9/15/2024 11:02:29,KL,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,10 latin american,4,2,1,Sydenham,1,0
9/15/2024 11:03:02,BP,3,0,8,5,9,9,9,2,1,1,"1,2,3,4,5",8,8,8,1,5,2,1,1,1,9,2,1,4,1,4,4,1,Bishopdale,3,
9/15/2024 11:04:06,BP,2,5,8,2,0,0,0,1,2,2,"1,2,3,4,5",9,9,9,1,5,4,"1,4",2,1,9,3,2,4,8,4,0,1,Ilam,3,
9/15/2024 11:04:31,YA,3,0,7 Schola of Community with Fr. Sean Mary,5,5,9,5,2,2,2,"1,2,3,4,5",8,9,9,1,5,4,2,1,2,8,4,2,4,10 European,4,3,1,Merivale,3,I really enjoy the way of the cross and off the activities proposed during Easter time. I also enjoyed the parish feast organised past years (It was beautiful to gather all together).
9/15/2024 11:04:33,KL,2,0,4,5,9,5,4,2,1,1,"1,2,3,4,5",7,8,7,1,1,4,"1,3,4",1,1,7,4,2,4,1,4,5,1,West Melton,1,0
9/15/2024 11:05:20,BP,1,4,8,1,1,1,1,2,2,2,"1,2,3,4",9,9,0,1,6,4,6,2,2,9,2,2,2,9,2,6,2,Ilam,3,
9/15/2024 11:06:20,KL,0,0,0,1,5,4,4,2,2,2,"1,2,3,4",5,7,7,1,3,4,4,2,1,7,1,1,4,1,1,6,7,west melton,1,0
9/15/2024 11:06:43,BP,2,0,4,4,5,7,5,2,1,2,"1,2,3",7,6,7,1,2,4,1,0,2,6,4,2,6,9,4,2,1,Riccarton,3,
9/15/2024 11:06:51,YA,5,6,7 Catechesis with Children,5,9,9,9,1,2,2,"1,2,3,4,5,6",9,9,9,1,5,3,"2,4,5 Books",1,1,9,7,2,5,1,4,6,4,Bishopdale,3,
9/15/2024 11:08:09,KL,2,0,5,5,9,7,7,1,0,0,"1,2,3,4,5",8,8,8,1,3,4,6,2,1,8,5,1,4,10 Latin,4,5,1,0,1,0
9/15/2024 11:09:17,YA,3,0,5,6,8,8,8,2,1,2,"1,2,3,4,5",8,9,9,1,5,1,"1,4,5 Amen App",2,2,9,4,1,3,10 South African European,4,5,1,Riccarton,3,
9/15/2024 11:10:00,KL,1,6,8,3,9,5,3,1,2,2,"1,2,3,4,5",6,6,6,3,5,4,6,2,2,9,4,2,4,10 Latin America,2,8,1,Waltham,1,0
9/15/2024 11:11:03,YA,2,0,8,4,8,4,9,2,2,2,"1,3,4,5",9,9,9,1,0,4,6,2,2,9,5,2,6,9,4,1,1,Sockburn,3,
9/15/2024 11:12:14,KL,2,5,1,"1,1,1",1,1,1,1,2,2,"1,2,3",8,8,8,5,1,1,6,2,2,8,3,1,3,10 South America,4,2,1,Westmorland,1,0
9/15/2024 11:12:49,YA,2,0,0,4,0,0,4,1,2,2,1,9,9,9,1,0,0,0,0,0,0,4,1,6,9,3,4,1,Sockburn,3,
9/15/2024 11:14:14,KL,2,0,2,1,9,1,5,1,2,2,"1,2,3,4",5,7,8,5,1,4,5 fb live,2,2,7,2,2,6,9,2,3,2,Hillmorton,1,0
9/15/2024 11:14:42,YA,2,0,0,4,7,7,7,2,2,2,"1,2,3",8,8,8,1,1,4,6,2,2,9,2,2,6,9,4,2,1,Sockburn,3,
9/15/2024 11:16:53,KL,1,2,8,1,0,6,0,1,2,2,"1,2,3",6,0,4,4,5,4,6,2,2,6,3,2,1,10 Latino,4,3,1,St Albans,1,0
9/15/2024 11:17:45,YA,5,"3,4",0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,1,3,1,0,0,0,0,3,
9/19/2024 18:20:30,GP,1,2,8,1,1,1,1,2,2,2,"1,2,3,4",8,5,7,3,1,4,6,2,2,9,2,2,2,0,2,1,2,RICCARTON,9,0
9/19/2024 18:19:36,GP,3,0,BAPTISM SERMON,1,9,5,2,2,2,2,"1,2,3,4",8,8,8,1,3,4,6,2,2,7,2,1,6,9,4,5,1,ILAM,9,0
9/19/2024 18:18:26,GP,1,5,4,2,3,2,8,2,2,2,"1,2,4,5",7,7,9,1,5,4,4,1,1,9,2,2,5,9,3,6,3,RICCARTON,9,0
9/19/2024 18:17:16,GP,0,5,1,1,0,0,7,2,2,2,"1,2,3,4,5",9,9,9,2,5,4,0,2,2,8,3,1,4,9,2,2,1,CANTURBURY,9,0
9/19/2024 18:16:16,GP,3,0,8,1,8,8,8,2,2,2,"1,2,3,4",6,7,7,2,3,4,6,2,1,7,1,1,6,SOLOMON ISLANDS,2,6,2,RICCARTON,9,0
9/19/2024 18:15:10,GP,4,0,8,1,9,9,9,2,2,2,"1,2,3,4,5",9,9,9,2,3,4,1,2,2,8,4,2,6,PACIFIC ,4,6,3,RICCARTON,9,0
9/19/2024 18:14:02,GP,2,0,8,1,4,8,7,2,2,1,2,8,8,9,0,"5,6",4,"2,4",1,1,9,1,1,4,1,3,6,1,NC,9,0
